id,feedback,date,department
1,The leadership team is approachable.,2025-01-05,Marketing
2,The company supports personal growth.,2024-11-22,Sales
3,Flexible working hours are appreciated.,2025-04-01,Sales
4,We have frequent recognition programs.,2025-04-04,Support
5,We have frequent recognition programs.,2024-09-28,HR
6,Great teamwork and collaboration.,2023-08-23,HR
7,The company supports personal growth.,2025-01-08,Sales
8,The management is transparent.,2024-12-01,HR
9,The work environment is healthy and inclusive.,2024-08-08,Support
10,The company supports personal growth.,2023-12-10,HR
11,Great teamwork and collaboration.,2025-05-04,HR
12,Great teamwork and collaboration.,2024-02-09,Support
13,We have frequent recognition programs.,2025-03-20,Marketing
14,Plenty of learning opportunities.,2024-12-12,Sales
15,The company supports personal growth.,2024-06-07,Marketing
16,Great teamwork and collaboration.,2025-01-18,Support
17,Plenty of learning opportunities.,2025-08-02,Marketing
18,The leadership team is approachable.,2024-09-07,IT
19,The work environment is healthy and inclusive.,2024-05-20,Support
20,The company supports personal growth.,2023-10-05,HR
21,The work environment is healthy and inclusive.,2023-10-12,Support
22,We celebrate wins regularly.,2024-01-30,HR
23,We celebrate wins regularly.,2025-01-06,IT
24,I feel valued and supported.,2024-01-28,Sales
25,Great teamwork and collaboration.,2024-01-16,Marketing
26,I feel valued and supported.,2024-05-08,Support
27,We have frequent recognition programs.,2025-04-20,HR
28,The work environment is healthy and inclusive.,2023-12-11,HR
29,Great teamwork and collaboration.,2023-12-14,Sales
30,The company supports personal growth.,2025-07-10,IT
31,The leadership team is approachable.,2024-07-14,HR
32,We celebrate wins regularly.,2024-02-29,Marketing
33,We have frequent recognition programs.,2024-09-13,HR
34,Plenty of learning opportunities.,2025-07-10,Support
35,The company supports personal growth.,2024-07-17,Sales
36,Flexible working hours are appreciated.,2025-01-27,Sales
37,I feel valued and supported.,2023-09-27,IT
38,Flexible working hours are appreciated.,2025-01-15,HR
39,The company supports personal growth.,2025-03-09,HR
40,Flexible working hours are appreciated.,2023-12-09,Support
41,Flexible working hours are appreciated.,2023-11-08,Support
42,Flexible working hours are appreciated.,2024-11-06,Marketing
43,Flexible working hours are appreciated.,2025-01-01,Sales
44,I feel valued and supported.,2023-10-15,IT
45,We have frequent recognition programs.,2024-12-30,Support
46,Plenty of learning opportunities.,2024-12-30,HR
47,We have frequent recognition programs.,2023-10-11,Support
48,We have frequent recognition programs.,2023-09-14,IT
49,Plenty of learning opportunities.,2024-04-04,Support
50,Great teamwork and collaboration.,2024-06-19,Sales
51,Great teamwork and collaboration.,2023-11-28,HR
52,We have frequent recognition programs.,2024-05-25,HR
53,The work environment is healthy and inclusive.,2025-04-07,IT
54,The work environment is healthy and inclusive.,2023-12-20,IT
55,The management is transparent.,2024-09-13,HR
56,The company supports personal growth.,2023-09-09,Sales
57,Great teamwork and collaboration.,2023-11-08,Marketing
58,The company supports personal growth.,2025-05-07,Marketing
59,Great teamwork and collaboration.,2023-10-31,HR
60,The leadership team is approachable.,2024-12-24,Marketing
61,I feel valued and supported.,2024-12-27,HR
62,I feel valued and supported.,2024-03-30,HR
63,We have frequent recognition programs.,2025-03-05,IT
64,The leadership team is approachable.,2024-08-05,Support
65,The management is transparent.,2024-02-10,Sales
66,We have frequent recognition programs.,2023-12-18,Marketing
67,The management is transparent.,2024-02-18,HR
68,The company supports personal growth.,2025-02-06,HR
69,The company supports personal growth.,2025-03-26,IT
70,I feel valued and supported.,2024-11-17,HR
71,The leadership team is approachable.,2024-12-03,IT
72,The management is transparent.,2024-02-21,Sales
73,Great teamwork and collaboration.,2024-07-12,Sales
74,Flexible working hours are appreciated.,2024-12-16,HR
75,Flexible working hours are appreciated.,2024-05-14,HR
76,The company supports personal growth.,2025-02-11,IT
77,We celebrate wins regularly.,2024-12-09,HR
78,Flexible working hours are appreciated.,2024-10-23,Sales
79,We have frequent recognition programs.,2024-07-10,IT
80,I feel valued and supported.,2024-02-15,Support
81,Great teamwork and collaboration.,2024-01-17,HR
82,Flexible working hours are appreciated.,2025-06-28,Marketing
83,The work environment is healthy and inclusive.,2024-09-16,Support
84,Great teamwork and collaboration.,2023-12-14,IT
85,Great teamwork and collaboration.,2025-02-23,Support
86,The leadership team is approachable.,2025-07-26,Marketing
87,We have frequent recognition programs.,2023-09-27,Marketing
88,Plenty of learning opportunities.,2024-10-07,IT
89,The company supports personal growth.,2024-08-27,Support
90,We celebrate wins regularly.,2024-06-08,Support
91,We have frequent recognition programs.,2023-12-31,IT
92,I feel valued and supported.,2024-09-25,Support
93,Flexible working hours are appreciated.,2024-07-05,Marketing
94,I feel valued and supported.,2024-08-03,Marketing
95,The company supports personal growth.,2024-09-15,Support
96,The work environment is healthy and inclusive.,2024-09-16,HR
97,The company supports personal growth.,2024-08-13,HR
98,The work environment is healthy and inclusive.,2025-03-12,IT
99,I feel valued and supported.,2024-08-08,HR
100,The company supports personal growth.,2025-07-22,Support
